iter	Passed	Remaining
0	187	9196
1	354	8503
2	455	7133
3	612	7038
4	711	6402
5	813	5962
6	915	5624
7	1015	5332
8	1116	5085
9	1220	4880
10	1320	4681
11	1423	4507
12	1518	4321
13	1620	4165
14	1717	4007
15	1819	3866
16	1926	3740
17	2063	3667
18	2190	3574
19	2293	3440
20	2416	3336
21	2519	3206
22	2621	3076
23	2722	2949
24	2824	2824
25	2926	2701
26	3028	2580
27	3133	2462
28	3233	2341
29	3339	2226
30	3440	2108
31	3539	1990
32	3636	1873
33	3734	1757
34	3836	1644
35	3938	1531
36	4034	1417
37	4141	1307
38	4267	1203
39	4370	1092
40	4473	981
41	4570	870
42	4672	760
43	4774	651
44	4876	541
45	4982	433
46	5082	324
47	5189	216
48	5292	108
49	5393	0
