iter	Passed	Remaining
139	128393	9042577
140	129195	9033575
141	129976	9023295
142	130713	9010117
143	131596	9007019
144	132523	9007006
145	133482	9009177
146	134358	9005661
147	135690	9032591
148	136734	9040096
149	137774	9047179
150	138885	9058824
151	140148	9080125
152	141017	9075808
153	142304	9098254
154	142845	9072967
155	143551	9058489
156	144178	9039177
157	144890	9025373
158	145505	9005813
159	146345	9000233
160	147344	9004458
161	148317	9007075
162	149294	9009872
163	150508	9026826
164	151535	9032434
165	152470	9032470
166	153460	9035815
167	154490	9041392
168	155372	9038253
169	156179	9030857
170	157146	9032718
171	158121	9034981
172	159024	9033147
173	160084	9040178
174	161101	9044696
175	162245	9056243
176	163216	9058064
177	163898	9043873
178	164532	9027232
179	165258	9015774
180	165933	9001669
181	166508	8982310
182	167237	8971413
183	167903	8957263
184	168739	8952335
185	169293	8932527
186	169917	8916601
187	170572	8902411
188	171008	8877055
189	171730	8866736
190	172361	8851791
191	172923	8833492
192	173655	8824063
193	174143	8802306
194	174803	8789472
195	175498	8778530
196	176203	8768147
197	176827	8753851
198	177534	8743797
199	178227	8733159
200	178937	8723436
201	179385	8701101
202	180124	8693015
203	180815	8682673
204	181485	8671448
205	182106	8658006
206	182847	8650382
207	183472	8637324
208	184039	8621665
209	184728	8611880
210	185407	8601687
211	186138	8594000
212	186772	8581900
213	187337	8566761
214	188051	8558532
215	188717	8548222
216	189677	8551243
217	190555	8550523
218	191205	8539620
219	191901	8530883
220	192639	8524066
221	193504	8522912
222	194133	8511413
223	194848	8503734
224	195500	8493398
225	196119	8481725
226	196723	8469501
227	197411	8460987
228	198077	8451603
229	198708	8440798
230	199427	8433795
231	200033	8422105
232	200702	8413126
233	201578	8412905
234	202181	8401302
235	202887	8394034
236	203550	8385094
237	204184	8374994
238	204915	8368957
239	205519	8357784
240	206276	8352899
241	206945	8344522
242	207524	8332569
243	208231	8325857
244	208862	8316141
245	209567	8309421
246	210222	8300809
247	210903	8293273
248	211615	8287002
249	212047	8269837
250	212602	8257599
251	213426	8255863
252	213918	8241339
253	214522	8231235
254	215139	8221698
255	215805	8214101
256	216452	8205814
257	217218	8202101
258	217649	8185805
259	218300	8177860
260	218872	8167041
261	219488	8157940
262	220188	8151983
263	220824	8143753
264	221545	8138672
265	222128	8128584
266	222827	8122784
267	223538	8117434
268	224193	8110144
269	224760	8099695
270	225440	8093409
271	226162	8088649
272	226905	8084648
273	227473	8074480
274	228136	8067718
275	228733	8058699
276	229258	8047204
277	229835	8037640
278	230470	8030123
279	230933	8016676
280	231530	8007995
281	232193	8001614
282	232722	7990689
283	233316	7982065
284	233915	7973638
285	234501	7964846
286	235137	7957802
287	235937	7956342
288	236624	7951087
289	237094	7938593
290	237694	7930498
291	238253	7921099
292	238816	7911932
293	239460	7905438
294	240057	7897492
295	240721	7891757
296	241139	7878041
297	241749	7870645
298	242386	7864177
299	243074	7859408
300	243744	7854084
301	244206	7842089
302	244856	7836229
303	245328	7824675
304	245979	7818915
305	246504	7809188
306	247126	7802611
307	247734	7795596
308	248393	7790239
309	249032	7784263
310	249647	7777599
311	250193	7768815
312	250654	7757483
313	251269	7750932
314	251831	7742808
315	252421	7735606
316	252815	7722451
317	253437	7716300
318	254073	7710601
319	254637	7702770
320	255220	7695560
321	255904	7691436
322	256526	7685461
323	257125	7678857
324	257635	7669622
325	258198	7662005
326	258796	7655455
327	259354	7647791
328	259952	7641344
329	260506	7633638
330	261154	7628714
331	261743	7622088
332	262366	7616511
333	262987	7610902
334	263399	7599262
335	263908	7590503
336	264477	7583513
337	265012	7575607
338	265509	7566623
339	266046	7558853
340	266667	7553491
341	267230	7546522
342	267859	7541457
343	268530	7537590
344	269086	7530533
345	269693	7524912
346	270143	7514963
347	270770	7510001
348	271283	7501896
349	271901	7496709
350	272470	7490231
351	273039	7483752
352	273652	7478545
353	274172	7470819
354	274745	7464573
355	275289	7457548
356	275794	7449549
357	276357	7443124
358	277314	7447326
359	277917	7442009
360	278430	7434318
361	279009	7428441
362	279570	7422083
363	280344	7421418
364	280965	7416720
365	281556	7411241
366	282126	7405253
367	282747	7400607
368	283301	7394242
369	283830	7387274
370	284475	7383337
371	285056	7377761
372	285866	7378120
373	286455	7372782
374	287014	7366718
375	287655	7362755
376	288163	7355421
377	288710	7349133
378	289288	7343650
379	289830	7337291
380	290138	7325057
381	290741	7320295
382	291379	7316428
383	291989	7311904
384	292400	7302420
385	293008	7297883
386	293579	7292457
387	294070	7285071
388	294610	7278927
389	295064	7270694
390	295600	7264514
391	296128	7258173
392	296545	7249149
393	296859	7237651
394	297175	7226255
395	297793	7222245
396	298296	7215459
397	298873	7210516
398	299398	7204316
399	299900	7197612
400	300452	7192131
401	301073	7188317
402	301686	7184332
403	302242	7179007
404	302836	7174612
405	303429	7170209
406	303932	7163704
407	304521	7159243
408	305156	7155890
409	305713	7150712
410	306343	7147267
411	306902	7142184
412	307424	7136279
413	308036	7132454
414	308598	7127506
415	309139	7122108
416	309722	7117670
417	310629	7120695
418	311380	7120143
419	312080	7118415
420	312898	7119365
421	313546	7116464
422	314106	7111569
423	314726	7108062
424	315249	7102378
425	315833	7098096
426	316411	7093690
427	316941	7088238
428	317440	7082113
429	317972	7076731
430	318494	7071160
431	319108	7067656
432	319915	7068425
433	320528	7064928
434	321055	7059540
435	321692	7056580
436	322217	7051173
437	322786	7046777
438	323313	7041467
439	323935	7038231
440	324336	7030222
441	324901	7025805
442	325387	7019700
443	325938	7015011
444	326382	7008046
445	326947	7003723
446	327541	7000006
447	328149	6996626
448	328719	6992421
449	329201	6986395
450	329765	6982102
451	330372	6978744
452	330937	6974528
453	331532	6970952
454	332152	6967906
455	332683	6963009
456	333102	6955788
457	333653	6951352
458	334240	6947686
459	334845	6944405
460	335454	6941206
461	336069	6938164
462	336626	6933920
463	337150	6929015
464	337750	6925694
465	338208	6919481
466	338741	6914820
467	339249	6909670
468	339786	6905119
469	340371	6901569
470	340823	6895336
471	341376	6891181
472	342100	6890461
473	342743	6888123
474	343109	6880249
475	343627	6875446
476	344162	6870975
477	344742	6867446
478	345139	6860282
479	345657	6855543
480	346298	6853252
481	346858	6849373
482	347451	6846163
483	347797	6838105
484	348593	6838907
485	349187	6835731
486	349690	6830809
487	350308	6828140
488	350893	6824845
489	351512	6822203
490	352102	6819025
491	352628	6814621
492	353276	6812582
493	353848	6809081
494	354162	6800641
495	354780	6798051
496	355339	6794349
497	355911	6790906
498	356508	6787942
499	357084	6784614
500	357690	6781843
501	358205	6777359
502	358821	6774804
503	359411	6771763
504	360029	6769268
505	360600	6765892
506	361228	6763603
507	361842	6761046
508	362223	6754148
509	362783	6750627
510	363246	6745288
511	363735	6740474
512	364278	6736670
513	364760	6731747
514	365354	6728903
515	365880	6724830
516	366500	6722478
517	367096	6719710
518	367717	6717398
519	368232	6713166
520	368782	6709573
521	369348	6706291
522	369876	6702325
523	370577	6701514
524	371008	6695816
525	371619	6693398
526	372153	6689579
527	372966	6690796
528	373575	6688349
529	374202	6686227
530	374776	6683152
531	375333	6679809
532	375961	6677728
533	376525	6674519
534	377139	6672194
535	377672	6668462
536	378198	6664596
537	378725	6660773
538	379062	6653629
539	379568	6649484
540	380111	6645985
541	380668	6642735
542	381288	6640591
543	381897	6638278
544	382392	6633979
545	382995	6631577
546	383505	6627563
547	383936	6622207
548	384481	6618832
549	384972	6614524
550	385551	6611748
551	385980	6606411
552	386592	6604234
553	387165	6601386
554	387775	6599167
555	388268	6594972
556	389002	6594883
557	389754	6595098
558	390888	6601754
559	391916	6606590
560	393012	6612552
561	393890	6614835
562	394985	6620739
563	395604	6618653
564	396581	6622553
565	397696	6628740
566	398188	6624538
567	398922	6624355
568	399655	6624166
569	400169	6620340
570	400729	6617303
571	401365	6615508
572	401893	6611960
573	402451	6608903
574	402886	6603837
575	403464	6601132
576	404037	6598352
577	405011	6602115
578	405599	6599571
579	406184	6596998
580	406794	6594832
581	407351	6591822
582	407961	6589656
583	408576	6587588
584	409394	6588807
585	410016	6586845
586	410571	6583837
587	411494	6586716
588	412058	6583843
589	412672	6581776
590	413295	6579857
591	413840	6576702
592	414364	6573226
593	414836	6568936
594	415574	6568874
595	415924	6562677
596	416551	6560859
597	417306	6561063
598	417927	6559164
599	418389	6554765
600	419013	6552926
601	419866	6554662
602	420510	6553133
603	421155	6551618
604	421844	6550786
605	422329	6546805
606	422884	6543907
607	423295	6538808
608	424053	6539056
609	424923	6541040
610	425548	6539231
611	426241	6538495
612	427000	6538756
613	427433	6534019
614	428064	6532327
615	428743	6531381
616	429478	6531269
617	430181	6530681
618	430755	6528145
619	431286	6524944
620	431882	6522754
621	432530	6521337
622	433060	6518144
623	433624	6515479
624	434337	6515063
625	434926	6512782
626	435679	6512949
627	436407	6512757
628	436897	6509005
629	437490	6506810
630	438106	6504951
631	438858	6505105
632	439720	6506890
633	440403	6506030
634	441153	6506140
