iter	Logloss
0	0.6445040207
1	0.5949156667
2	0.5496490883
3	0.506614643
4	0.4692066208
5	0.4313666158
6	0.3999949813
7	0.3688748214
8	0.3400458337
9	0.3127390121
10	0.2889763892
11	0.2663146727
12	0.2447146342
13	0.2260225994
14	0.2069105244
15	0.18960488
16	0.1755036155
17	0.1629520522
18	0.1498568919
19	0.1388135041
20	0.1273698403
21	0.1170618865
22	0.1079425262
23	0.09992438885
24	0.09193111654
25	0.08473771792
26	0.07865863045
27	0.07288505625
28	0.06780794443
29	0.06273681292
30	0.05786871516
31	0.05364419374
32	0.04981040008
33	0.04631146917
34	0.04303309325
35	0.04017357495
36	0.03742430567
37	0.03470919427
38	0.03213980964
39	0.02989067145
40	0.02769615208
41	0.02562079147
42	0.02371944
43	0.02202809224
44	0.0205854874
45	0.01929450374
46	0.01802475738
47	0.0168014291
48	0.01563643067
49	0.01465388598
50	0.01365205341
51	0.01278732125
52	0.01209539246
53	0.01133916255
54	0.0106773889
55	0.009965871265
56	0.009316081724
57	0.008804891122
58	0.008249379848
59	0.007744950272
60	0.007308602341
61	0.006857182452
62	0.006495944736
63	0.006091483764
64	0.005715149216
65	0.005387171279
66	0.005095492145
67	0.004825123692
68	0.004562150837
69	0.004331901898
70	0.004082585976
71	0.003854855019
72	0.003656551901
73	0.003453947834
74	0.003285246591
75	0.003125120732
76	0.002954855271
77	0.002799892987
78	0.002662201643
79	0.002545832015
80	0.002427691865
81	0.002302850544
82	0.002198477384
83	0.002101341081
84	0.002006721875
85	0.0019090408
86	0.001816179771
87	0.001729700277
88	0.001656551521
89	0.001578918453
90	0.001510838663
91	0.001444280581
92	0.001377335216
93	0.001321763239
94	0.001262581694
95	0.001210509861
96	0.001163467559
97	0.001112821252
98	0.001064307472
99	0.001024337132
100	0.0009814327986
101	0.0009482385027
102	0.0009134108795
103	0.0008840812942
104	0.0008492984633
105	0.0008190689201
106	0.0007905033255
107	0.0007637404507
108	0.0007394301958
109	0.0007139280306
